Input,Real_Phonemes,Reference,Prediction,WER,PER
DH AH | HH AY L Z | W ER | F IY D | SH AA T | K AO R D | DH EY Z |,DH AH | HH AA G Z | W ER | F EH D | CH AA P T | K AO R N | AH N D | G AA R B IH JH |,The hogs were fed chopped corn and garbage.,The hills were fired shot cord they were.,0.75,0.4166666667
AY | W UH D | K AA M AH M L IY | K OW IH NG | AA N | EH | T EH T |,AY | W UH D | K AA N T AH M P L EY T | G OW IH NG | AA N | AH | K R UW Z | N AW |,I would contemplate going on a cruise now.,I would come maybe coming on a set.,0.625,0.4
S OW | AH B AE N D AH D | AO L | AH V | HH IH Z | L AA G Z | B IY IH NG | B UH K AH K T | IH N | DH AE T | V OY Z |,S OW | IH M AE JH AH N | AO L | AH V | HH IH Z | L AY N Z | B IY IH NG | S P OW K AH N | IH N | DH AE T | V OY S |,So imagine all of his lines being spoken in that voice.,So abandoned all of his laws being broken in that voice.,0.2727272727,0.2708333333
DH AH | G ER Z | AE T | T UW L | AA R | AO L | W EH IY | K L OW DH Z | F R AH M | DH AH | S IH S T AH S |,DH AH | G ER L Z | AE T | S K UW L | AA R | AO L | W EH R IH NG | K L OW DH Z | F R AH M | DH AH | S IH K S T IY Z |,The girls at school are all wearing clothes from the sixties.,The girls at school are all very close from the system.,0.2727272727,0.18
AH N D | EH V R IY W AH N | IH V AA L V D | IH N | DH AH | K EY S | B AA R | DH AH | JH UH R IY | HH AE D | B IH N | HH IY R |,AH N D | EH V R IY W AH N | IH N V AA L V D | IH N | DH AH | K EY S | B AA R | DH AH | JH UH R IY | HH AE D | B IH N | HH IY R | B IH F AO R |,"And everyone involved in the case, bar the jury, had been here before.","And everyone involved in the case, bar the jury, had been here.",0.07692307692,0.1166666667
HH IY | K AE N | K AH N T IH S T AH T L IY | S T AO R | DH AH | D AE M ZH JH | Y UW | N IY D | T UW | T W EH L | Y AO R | HH AE D |,HH IY | K AE N | K AH N S IH S T AH N T L IY | S K AO R | DH AH | D AE M AH JH | Y UW | N IY D | T UW | P R AW L | Y AO R | HH AE N D | IH N T UW | P L EY |,He can consistently score the damage you need to prowl your hand into play.,He can consistently store the damage you need to tell your head.,0.3571428571,0.2537313433
IH T S | T UW | M AY N Y AH B AH L | D UW | JH AH AA T | L EH T | P IY P AH L | S T EY | IY | IY Z |,IH T S | T UW | V AE L Y AH B AH L | T UW | JH AH S T | L EH T | P IY P AH L | S T EY | IH N | S AA R IY |,"Its too valuable to just let people stay in, sorry.",It's too minimum to not let people stay in ease.,0.3,0.2391304348
DH AH | L OW | K IH Z | EH V ER V ER IH N | DH AH T |,DH AH | L AO | G IH V Z | EH V R IY W AH N | DH IH S | W AH N | R AY T |,The law gives everyone this one right.,The low kids of everyone that.,0.8571428571,0.4838709677
DH AH | S EH T | AH V | CH EY N ER | IY IH T | DH AH | W IH L | W IH DH | R EH SH |,DH AH | S EH T | AH V | CH AY N AH | HH IH T | DH AH | F L AO R | W IH DH | AH | K R AE SH |,The set of china hit the floor with a crash.,The set of chairs it the will with rest.,0.5,0.2894736842
DH IH S | IH Z | DH AH | P R EH AY S | P EY D | F AO R | K AY T IH NG | EH D Z | R AE DH ER | DH AE N | CH EH K AH N |,DH IH S | IH Z | DH AH | P R AY S | P EY D | F AO R | K AW N T IH NG | EH G Z | R AE DH ER | DH AE N | CH IH K AH N | EH M B R IY OW Z |,This is the price paid for counting eggs rather than chicken embryos.,This is the price paid for eating eggs rather than chicken.,0.1666666667,0.2280701754
DH AE T | W AA Z | W AH N | TH IH NG K | DH AE T S | B IH N | L | L | L IH L |,DH AE T | W AA Z | W AH N | TH IH NG | DH AE T S | B IH N | R IH L IY | N AY S | T UW | HH AE V |,That was one thing that's been really nice to have.,That was one thing that's been on my mind.,0.4,0.3170731707
R | AY |,AY | EH N JH OY | DH AH | N UW Z |,I enjoy the news.,r iy,1,0.8571428571
M AY | F EY V ER IH T | AH DH ER | T AY S | R IH L AH S T | AH | B R EY D | N UW | IH L |,M AY | F EY V ER IH T | AO TH ER | JH AH S T | R IY L IY S T | AH | B R AE N D | N UW | B UH K |,My favorite author just released a brand new book.,My favorite other style is a braided new style.,0.5555555556,0.2926829268
| | DH AH | DH EH |,DH AH | M UW V IY | IH Z | S L OW | B ER N IH NG |,The movie is slow burning.,I'm the one.,1,0.8095238095
AA R | Y UW | T AO K IH NG | AH B AW T | DH AH | AE S EH K T | R EY N | D IH CH UW F EY SH AH N | AO R | DH AH | AH DH ER N | AH | AH | B W AH S |,AA R | Y UW | T AO K IH NG | AH B AW T | DH AH | AE S IH D | R EY N | S IH CH UW EY SH AH N | AO R | DH AH | OW Z OW N | D IH P L IY SH AH N |,Are you talking about the acid rain situation or the ozone depletion?,Are you talking about the exact rain distribution or the other one on a bus?,0.5833333333,0.2586206897
D IH T IY L Z | AH V | DH IH S | P L AA T | W ER | AH M EH D |,D IH T EY L Z | AH V | DH IH S | P L AA T | W ER | R IY P AO R T IH D | T UW | Y IH R Z | AH G OW |,Details of this plot were reported two years ago.,Details of this plot were amended.,0.4444444444,0.4651162791
IH T S | AE K CH UW AH L IY | K S AO R T IY | AW T | T UW | B IY | IY V IH N | HH IH S |,IH T S | AE K CH UW AH L IY | T ER N IH NG | AW T | T UW | B IY | IY V IH N | W ER S | DH AE N | W IY | TH AO T |,It's actually turning out to be even worse than we thought.,It's actually sort of out to be even his.,0.5454545455,0.4042553191
D AH Z | IH T | D AH S T AH F AY | DH AH | K AA S T |,D AH Z | IH T | JH AH S T AH F AY | DH AH | K AA S T |,Does it justify the cost?,Does it dustify the coast?,0.4,0.04347826087
|,P EH T S | K AE N | B IY | AH | L AA T | AH V | T R AH B AH L |,Pets can be a lot of trouble.,I |,1,0.9642857143
K AA Z | AH N D | B AH K S AH S | S AO L D | IH N | N OW | D R IH M Z |,K AA R Z | AH N D | B AH S AH Z | S T AO L D | IH N | S N OW | D R IH F T S |,Cars and busses stalled in snow drifts.,Cows and ducks sold in no time.,0.7142857143,0.2285714286
W IY | M AH S T | AO L W EY Z | G IY T P | L UH K IH NG | F AO R ER D |,W IY | M AH S T | AO L W EY Z | K IY P | L UH K IH NG | F AO R W ER D |,We must always keep looking forward.,We must always get looking forward.,0.1666666667,0.09677419355
AE V | Y UW | S IH N | S AE T | N AA T | AH B AW T | D IH F ER L AY V | DH AH | M AH S AH L | M EY K | P R OY IY AH D |,HH AE V | Y UW | S IY N | DH AE T | W AH N | AH B AW T | S ER V AY V ER Z | IH N | DH AH | AE M AH Z AA N | R EY N | F AO R AH S T |,Have you seen that one about survivors in the Amazon rain forest?,Have you seen that not about different the muscle make profit?,0.5,0.4821428571
AY | W UH D | K R S R EH S T AH N D | W EH R | AY | W AA Z | B AY IH NG | IH T | F R AH M |,AY | W UH D | R IY K AH N S IH D ER | W EH R | AY | W AA Z | B AY IH NG | IH T | F R AH M |,I would reconsider where I was buying it from.,I would confess where I was buying it from.,0.1111111111,0.2307692308
AY | K AE T | L EH S T | T AY M | T UW | B IY | W IH DH | CH IH L D R AH D | DH EY Z | T EY Z |,AY | G EH T | L EH S | T AY M | T UW | B IY | W IH DH | CH IH L D R AH N | DH IY Z | D EY Z |,I get less time to be with children these days.,I can't last the whole time to be with children that age.,0.6,0.15
W IY | AA R | N AA T | T R AY IH NG | T UW | S R S R IY AH N D | DH EH M | AO R | EH N IY TH IH NG |,W IY | AA R | N AA T | T R AY IH NG | T UW | M IH S T R IY T | DH EH M | AO R | EH N IY TH IH NG |,We are not trying to mistreat them or anything.,We are not trying to surpass them or anything.,0.1111111111,0.1463414634
P R EH S | DH AH | P EY T S | AH N D | S OW | AH | P AH T AH N | AA N | DH AH | F EH S T |,P R EH S | DH AH | P AE N T S | AH N D | S OW | AH | B AH T AH N | AA N | DH AH | V EH S T |,Press the pants and sew a button on the vest.,Press the buttons and so a pattern on the fabric.,0.4,0.1
Y UW | W IH L | G EY N | K AH M P AH T AH N S Z | W IH DH | R IH P EH K T | T UW | DH AH | M AY AY R IY AH |,Y UW | W IH L | G EY N | K AA M P AH T IH N S | W IH DH | R IH S P EH K T | T UW | DH AH | M AH T IH R IY AH L |,You will gain competence with respect to the material.,You will gain companions with respect to the area.,0.2222222222,0.1666666667
W AA L AH L IY | EH JH EH K EY SH AH N | W IH L | S ER T AH N L IY | HH EH L P |,K W AA L AH T IY | EH JH AH K EY SH AH N | W IH L | S ER T AH N L IY | HH EH L P |,Quality education will certainly help.,College education will certainly help.,0.2,0.08823529412
AH | M AY N | W IH DH AH | S M AO L | CH ER CH ER JH | IH N | AH | W AO R D | AH V | DH AH | G K AH V ER AH M AH N T |,AH | M AE N | W IH DH | AH | S M AO L | P EH N SH AH N | IH Z | AH | W AO R D | AH V | DH AH | G AH V ER N M AH N T |,A man with a small pension is a ward of the Government.,A mine with a small church in a ward of the government.,0.25,0.22
S R AH M | M AO R | T AY M | IH N | DH AH | M AO R N IY NG | W UH D | B IY | N AY S |,S AH M | M AO R | T AY M | IH N | DH AH | M AO R N IH NG | W UH D | B IY | N AY S |,Some more time in the morning would be nice.,Some more time in the morning would be nice.,0,0.05555555556
Y UH AO R | B AH TH IH | AH N D | EY N JH | W OW UH N D | B IY | V IH Z AH B AH L | T UW | AH DH ER | Y UW Z ER Z |,Y AO R | B ER TH D EY | AH N D | EY JH | W OW N T | B IY | V IH Z AH B AH L | T UW | AH DH ER | Y UW Z ER Z |,Your birthday and age won't be visible to other users.,You are both and can be visible to other users.,0.5,0.152173913
F AO R | L UH NG AH L | N S IH K S AH S | AH N D | DH AE T S | W AH T | AY | N AW |,F AO R | L IY G AH L | AH S IH S T AH N T | AH N D | DH AE T S | W AH T | AY | N OW |,For legal assistant and that's what I know.,For a long succession and that's what I know.,0.375,0.2162162162
AY | AE M | T EY K IH NG | M AY | K AA R | T UW | CH EH K | DH IH S | AW T | IH N | DH AH | IY V N IH NG |,AY | AE M | T EY K IH NG | M AY | K AA R | T UW | CH EH K | DH IH S | AW T | IH N | DH AH | IY V N IH NG |,I am taking my car to check this out in the evening.,I am taking my car to check this out in the evening.,0,0
AY | W IH L | G EY V | Y UW | M AY N | F AO R | W R EY |,AY | W IH L | G IH V | Y UW | M AY N | F AO R | F R IY |,I will give you mine for free.,I will give you mine for free.,0,0.12
SH IY | CH AA P T | AE T | DH AH | S AW N D | AH V | DH AH | S TH ER N T ER | S T AO R M |,SH IY | JH AH M P T | AE T | DH AH | S AW N D | AH V | DH AH | TH AH N D ER | S T AO R M |,She jumped at the sound of the thunder storm.,She chopped at the sound of the thunder storm.,0.1111111111,0.1578947368
B AH S T | AH V | AH S | TH IH NG K | W IY | N OW | DH AH | S T AO R IY | AH V | D IH T R OY N | P R IH M K AH N |,M OW S T | AH V | AH S | TH IH NG K | W IY | N OW | DH AH | S T AO R IY | AH V | D IH T R OY T | M IH SH IH G AH N |,"Most of us think we know the story of Detroit, Michigan.",Most of us think we know the story of Detroit Pistons.,0.09090909091,0.1632653061
DH AH | HH AE D | S EH T S | AH N D | T R AO R IY | T AY M | AH N D | AH P V AH DH IH |,DH EY | HH AE D | S N AE K S | AH N D | S T AO R IY | T AY M | AH N D | EH V R IY TH IH NG |,They had snacks and story time and everything.,The headsets and the time and the up and down.,1,0.3076923077
W AH T | K UH D | Y UW | D UW | IH N | AH | F UW | D EY Z |,W AH T | K UH D | Y UW | D UW | IH N | AH | F Y UW | D EY Z |,What could you do in a few days?,What could you do in a few days?,0,0.03703703704
W IY | IH JH AE T IH D | T UW | AE S K | DH EH M |,W IY | D IH S AY D IH D | T UW | AE S K | DH EH M |,We decided to ask them.,We invited to ask them.,0.2,0.1818181818
DH AH | D EY | K EH R | K S IH P AH N | OW OW T S | S T AA D IH NG | AH N D | S IH S | M IH S | OW L D |,DH AH | D EY | K EH R | AE K S EH P T IH D | IH N F AH N T S | S T AA R T IH NG | AE T | S IH K S | W IY K S | OW L D |,The day care accepted infants starting at six weeks old.,The day care facility is standing on its own two feet.,0.8,0.3653846154
AY | W EH N T | B AE K | T UW | S K UW L | AH N D | G AA T | M AY | M AE K S ER S | D IH G R IY |,AY | W EH N T | B AE K | T UW | S K UW L | AH N D | G AA T | M AY | M AE S T ER Z | D IH G R IY |,I went back to school and got my Master's degree.,I went back to school and got my master's degree.,0,0.06976744186
AY | HH AE V | T UW | P EY | F AO R | F AO R | TH IH NG Z |,AY | HH AE V | T UW | P EY | F AO R | F AO R | TH IH NG Z |,I have to pay for four things.,I have to pay for four things.,0,0
Y UW | W IH L | L AO N | M AO R | AH B AW T | DH AH | K AE R AH JH ER Z | IH N | DH AH | B UH K |,Y UW | W IH L | L ER N | M AO R | AH B AW T | DH AH | K AE R IH K T ER Z | IH N | DH AH | B UH K |,You will learn more about the characters in the book.,You will learn more about the characters in the book.,0,0.09523809524
AH | S M AO L | K R IY K | K G EH T | ER K R AO S | DH AH | F IY L D |,AH | S M AO L | K R IY K | K AH T | AH K R AO S | DH AH | F IY L D |,A small creek cut across the field.,A small creek goes across the field.,0.1428571429,0.1
S K UW L | G EY V | AH | K AA R D | AH N D | B UH K S | T UW | DH IH S | M AO L | CH AY L D |,S K UW L | G EY V | AH | K AA R D | AH N D | B UH K S | T UW | DH IH S | S M AO L | CH AY L D |,School gave a card and books to this small child.,School gave a card and books to this small child.,0,0.02380952381
S AY N | AH P | F AO R | AW ER | D IH L IY | L OW L IH N AH | AH V | DH AH | T AH P | S T AO OY IY Z | IH N | K ER R IY AH L | AE T K |,S AY N | AH P | F AO R | AW ER | D EY L IY | N UW Z L EH T ER | AH V | DH AH | T AA P | S T AO R IY Z | IH N | K ER IY ER | K AH N T R IY |,Sign up for our daily newsletter of the top stories in Courier country.,Sign up for our daily list of the top stories in California at 10 a.m.,0.3846153846,0.2881355932
K IY P | DH IH S | W IH DH | Y UW | F AO R | N AW |,K IY P | DH IH S | W IH DH | Y UW | F AO R | N AW |,Keep this with you for now.,Keep this with you for now.,0,0
OW | S OW | Y UW | N IY D | T UW | P UH T | AH W EY | DH AH | M EY L K | AH N D | S IH R IY AH L |,OW | S OW | Y UW | N IY D | T UW | P UH T | AH W EY | DH AH | M IH L K | AH N D | S IH R IY AH L |,"Oh, so you need to put away the milk and cereal?","So, you need to put away the milk and cereal?",0.09090909091,0.02380952381
DH EY | W AO D IH D | AH | K AH P AH L | Y IH R Z |,DH EY | W EY T IH D | AH | K AH P AH L | Y IH R Z |,They waited a couple years.,They did a couple years.,0.2,0.09090909091
IH T | R IH L IY | HH EH L P S | DH OW Z | P IY P AH L |,IH T | R IH L IY | HH EH L P S | DH OW Z | P IY P AH L |,It really helps those people.,It really helps those people.,0,0
DH IH S | R UW M | IH Z | K W EY T | N IY T |,DH IH S | R UW M | IH Z | K W AY T | N IY T |,This room is quite neat.,This room is quite neat.,0,0.05
M AY | K AH M P Y UW T ER | IH Z | N AA T | W ER K IH NG | EH N IY M AO R |,M AY | K AH M P Y UW T ER | IH Z | N AA T | W ER K IH NG | EH N IY M AO R |,My computer is not working anymore.,My computer is not working anymore.,0,0
AY | HH AE V | T UW | B IY | B W IH L | K EH F AH L |,AY | HH AE V | T UW | B IY | R IY L | K EH R F AH L |,I have to be real careful.,I have to be will careful.,0.1666666667,0.1739130435
T R AY V IH NG | S IH Z AH N | IH Z | HH OW M AH N IH NG | B OY Z |,S T R IY M IH NG | S IY Z AH N | IH Z | OW P AH N IH NG | B OY Z |,Streaming season is opening boys!,Travelling season is homecoming boys.,0.4,0.2142857143
TH EH NG N | Y UW | F AO R | S AE N IH NG | AH P |,TH AE NG K | Y UW | F AO R | S AY N IH NG | AH P |,Thank you for signing up.,Then you pour sugar up.,0.6,0.1428571429
DH EY | D OW N T | M EY K | DH EH M | EH N IY M AO R |,DH EY | D OW N T | M EY K | DH EH M | EH N IY M AO R |,They don't make them anymore.,They don't make them any more.,0.4,0
JH AH S T | AO L | D IH F ER AH N T | K AA L ER Z |,JH AH S T | AO L | D IH F ER AH N T | K AH L ER Z |,Just all different colors.,Just all different colors.,0,0.04545454545
AY | W UH D | W ER K | IH N | DH AH | S AH M ER |,AY | W UH D | W ER K | IH N | DH AH | S AH M ER |,I would work in the summer.,I would work in the summer.,0,0
W IY | JH AH S T | L AH F T | IH T | AH L OW N |,W IY | JH AH S T | L EH F T | IH T | AH L OW N |,We just left it alone.,We just lift it alone.,0.2,0.04761904762
P UH T | DH AE T | B AE K | IH N | DH AH | S N S T AH D N |,P UH T | DH AE T | B AE K | IH N | DH AH | S AO S P AE N |,Put that back in the saucepan.,Put that back in the stand.,0.1666666667,0.16
W IY R | P EY IH NG | P AE S K AH T B AH L | P IY P IY |,W IY R | P EY IH NG | B AE S K AH T B AO L | P IY P AH L |,We're paying basketball people.,We're playing basketball people.,0.25,0.16
AY | HH AE D | T UW | CH EY N JH Z | DH AH | W AO IH | IH N | DH AE T |,AY | HH AE D | T UW | CH EY N JH | DH AH | W AO T ER | IH N | DH AE T |,I had to change the water in that.,I had to change the way in that.,0.125,0.1034482759
IH T | D IH Z AH N T | S IY M | DH AE T | L AO |,IH T | D AH Z AH N T | S IY M | DH AE T | L AO NG |,It doesn't seem that long.,It doesn't seem that long.,0,0.09090909091
R AH JH IH T IY | CH EY N JH | IH N | AH W EY |,R AH ZH IY M | CH EY N JH | IH N | IH R AA N |,Regime change in Iran.,Regularity change in away.,0.5,0.4210526316
L AY K | DH AH | OW L D | HH IH K | W EH L IH N Z |,L AY K | DH AH | OW L D | HH AE NG K | W IH L Y AH M Z |,Like the old Hank Williams.,Like the old ones.,0.4,0.25
W IY | W AA N T | T UW | S T EY | F ER EH V ER |,W IY | W AA N T | T UW | S T EY | F ER EH V ER |,We want to stay forever.,We want to stay forever.,0,0
DH IH S | IH Z | L AY K | AH | K ER R AH T IY | JH OW G |,DH IH S | IH Z | L AY K | AH | K R UW L T IY | JH OW K |,This is like a cruelty joke.,This is like a country jog.,0.3333333333,0.1666666667
L AH M EY K AH Z | P AE S T | AH | M EH ZH ER | L AE S T | Y IH R |,L AO M EY K ER Z | P AE S T | AH | M EH ZH ER | L AE S T | Y IH R |,Lawmakers passed a measure last year.,Lame ducks passed a measure last year.,0.3333333333,0.06896551724
DH EY | K AE N | R EH D | IH N D IY TH IH NG |,DH EY | K AE N T | R EH D | EH N IY TH IH NG |,They can't read anything.,They can read anything.,0.25,0.1578947368
AY | JH AH S T | P AA T | AH | N UW | HH AW S |,AY | JH AH S T | B AA T | AH | N UW | HH AW S |,I just bought a new house.,I just bought a new house.,0,0.05
AY | HH AE V | N AA T | G UH D | B AE K | L EY T L IY |,AY | HH AE V | N AA T | G AO N | B AE K | L EY T L IY |,I have not gone back lately.,I have not been good lately.,0.3333333333,0.08333333333
M EH N IY | P IY P AH L | W IH L | K AH M | HH IY R |,M EH N IY | P IY P AH L | W IH L | K AH M | HH IY R |,Many people will come here.,Many people will come here.,0,0
DH EY | AA R | DH AH | D IH S T R OY T | D EH L AH N AH N S |,DH EY | AA R | DH AH | D IH T R OY T | D EH L AH G AH T S |,They are the Detroit delegates.,They are the destroyers.,0.4,0.12
AH | R EH CH AH M ER | DH AE T | EH M P L OY Z | M AE N AY AH T IY Z |,AH | R EH S T ER AA N T | DH AE T | EH M P L OY Z | M AY N AO R AH T IY Z |,A restaurant that employs minorities.,A company that employs mechanics.,0.4,0.28125
